customer_id,signup_date,city,acquisition_channel,state,zone,tier,first_purchase_date
C100000,2024-09-14,Pune,Influencer,Maharashtra,West,1,2023-05-15
C100001,2025-02-09,Bhopal,Influencer,Madhya Pradesh,Central,2,2023-04-11
C100002,2024-12-08,Gurgaon,Organic Search,Haryana,North,1,2024-09-23
C100003,2023-12-08,Jodhpur,Organic Search,Rajasthan,North,3,2024-05-16
C100004,2024-02-08,Indore,Organic Search,Madhya Pradesh,Central,2,2023-10-29
C100005,2025-01-28,Hyderabad,Paid Social,Telangana,South,1,2024-02-29
C100006,2023-04-08,Coimbatore,Organic Search,Tamil Nadu,South,2,2023-10-02
C100007,2025-01-01,Pune,Paid Social,Maharashtra,West,1,2023-05-28
C100008,2024-12-19,Pune,Referral,Maharashtra,West,1,2024-02-18
C100009,2024-06-08,Bengaluru,Referral,Karnataka,South,1,2023-06-20
C100010,2024-02-10,Noida,Paid Social,Uttar Pradesh,North,1,2023-11-17
C100011,2024-01-21,Guwahati,Influencer,Assam,East,3,2023-09-23
C100012,2024-01-02,Noida,Organic Search,Uttar Pradesh,North,1,2023-04-05
C100013,2024-05-24,Vadodara,Paid Social,Gujarat,West,3,2023-10-10
C100014,2024-07-02,Lucknow,Organic Search,Uttar Pradesh,North,2,2023-07-26
C100015,2024-08-02,Dehradun,Organic Search,Uttarakhand,North,3,2023-07-16
C100016,2025-03-29,Nashik,Paid Social,Maharashtra,West,3,2023-10-30
C100017,2024-12-17,Ahmedabad,Paid Social,Gujarat,West,1,2024-02-26
C100018,2024-09-13,Raipur,Paid Social,Chhattisgarh,Central,3,2023-06-30
C100019,2025-03-26,Surat,Organic Search,Gujarat,West,2,2023-04-28
C100020,2023-11-29,Surat,Offline-to-Online,Gujarat,West,2,2024-01-02
C100021,2023-10-09,Mumbai,Influencer,Maharashtra,West,1,2024-02-05
C100022,2024-09-07,Noida,Influencer,Uttar Pradesh,North,1,2024-03-04
C100023,2023-06-01,Ranchi,Offline-to-Online,Jharkhand,East,3,2024-01-13
C100024,2023-05-21,Nagpur,Paid Social,Maharashtra,West,2,2023-11-08
C100025,2024-07-09,Chandigarh,Organic Search,Punjab,North,2,2024-05-17
C100026,2024-06-07,Vijayawada,Paid Social,Andhra Pradesh,South,3,2023-07-05
C100027,2025-02-19,Lucknow,Organic Search,Uttar Pradesh,North,2,2023-11-25
C100028,2024-09-17,Gurgaon,Influencer,Haryana,North,1,2024-12-10
