date,fiscal_year,month,month_name,quarter,week,day_of_week,is_festive_season
2023-04-01,FY24,2023-04,Apr,2023Q2,2023-W13,Saturday,0
2023-04-02,FY24,2023-04,Apr,2023Q2,2023-W14,Sunday,0
2023-04-03,FY24,2023-04,Apr,2023Q2,2023-W14,Monday,0
2023-04-04,FY24,2023-04,Apr,2023Q2,2023-W14,Tuesday,0
2023-04-05,FY24,2023-04,Apr,2023Q2,2023-W14,Wednesday,0
2023-04-06,FY24,2023-04,Apr,2023Q2,2023-W14,Thursday,0
2023-04-07,FY24,2023-04,Apr,2023Q2,2023-W14,Friday,0
2023-04-08,FY24,2023-04,Apr,2023Q2,2023-W14,Saturday,0
2023-04-09,FY24,2023-04,Apr,2023Q2,2023-W15,Sunday,0
2023-04-10,FY24,2023-04,Apr,2023Q2,2023-W15,Monday,0
2023-04-11,FY24,2023-04,Apr,2023Q2,2023-W15,Tuesday,0
2023-04-12,FY24,2023-04,Apr,2023Q2,2023-W15,Wednesday,0
2023-04-13,FY24,2023-04,Apr,2023Q2,2023-W15,Thursday,0
2023-04-14,FY24,2023-04,Apr,2023Q2,2023-W15,Friday,0
2023-04-15,FY24,2023-04,Apr,2023Q2,2023-W15,Saturday,0
2023-04-16,FY24,2023-04,Apr,2023Q2,2023-W16,Sunday,0
2023-04-17,FY24,2023-04,Apr,2023Q2,2023-W16,Monday,0
2023-04-18,FY24,2023-04,Apr,2023Q2,2023-W16,Tuesday,0
2023-04-19,FY24,2023-04,Apr,2023Q2,2023-W16,Wednesday,0
2023-04-20,FY24,2023-04,Apr,2023Q2,2023-W16,Thursday,0
2023-04-21,FY24,2023-04,Apr,2023Q2,2023-W16,Friday,0
2023-04-22,FY24,2023-04,Apr,2023Q2,2023-W16,Saturday,0
2023-04-23,FY24,2023-04,Apr,2023Q2,2023-W17,Sunday,0
2023-04-24,FY24,2023-04,Apr,2023Q2,2023-W17,Monday,0
2023-04-25,FY24,2023-04,Apr,2023Q2,2023-W17,Tuesday,0
2023-04-26,FY24,2023-04,Apr,2023Q2,2023-W17,Wednesday,0
2023-04-27,FY24,2023-04,Apr,2023Q2,2023-W17,Thursday,0
2023-04-28,FY24,2023-04,Apr,2023Q2,2023-W17,Friday,0
2023-04-29,FY24,2023-04,Apr,2023Q2,2023-W17,Saturday,0
2023-04-30,FY24,2023-04,Apr,2023Q2,2023-W18,Sunday,0
2023-05-01,FY24,2023-05,May,2023Q2,2023-W18,Monday,0
2023-05-02,FY24,2023-05,May,2023Q2,2023-W18,Tuesday,0
2023-05-03,FY24,2023-05,May,2023Q2,2023-W18,Wednesday,0
2023-05-04,FY24,2023-05,May,2023Q2,2023-W18,Thursday,0
2023-05-05,FY24,2023-05,May,2023Q2,2023-W18,Friday,0
2023-05-06,FY24,2023-05,May,2023Q2,2023-W18,Saturday,0
2023-05-07,FY24,2023-05,May,2023Q2,2023-W19,Sunday,0
2023-05-08,FY24,2023-05,May,2023Q2,2023-W19,Monday,0
2023-05-09,FY24,2023-05,May,2023Q2,2023-W19,Tuesday,0
2023-05-10,FY24,2023-05,May,2023Q2,2023-W19,Wednesday,0
