product_id,product_name,category,sub_category,shade_family,mrp,launch_date
P0001,Foundation - Fair 1,Makeup,Foundation,Fair,514,2023-09-15
P0002,Foundation - Fair 2,Makeup,Foundation,Fair,553,2024-07-02
P0003,Foundation - Fair 3,Makeup,Foundation,Fair,469,2020-09-26
P0004,Foundation - Fair 4,Makeup,Foundation,Fair,516,2020-04-05
P0005,Foundation - Fair 5,Makeup,Foundation,Fair,690,2020-02-28
P0006,Foundation - Wheatish 1,Makeup,Foundation,Wheatish,516,2022-04-05
P0007,Foundation - Wheatish 2,Makeup,Foundation,Wheatish,368,2021-12-04
P0008,Foundation - Wheatish 3,Makeup,Foundation,Wheatish,508,2020-08-14
P0009,Foundation - Wheatish 4,Makeup,Foundation,Wheatish,393,2019-04-14
P0010,Foundation - Dusky 1,Makeup,Foundation,Dusky,352,2022-01-03
P0011,Foundation - Dusky 2,Makeup,Foundation,Dusky,380,2024-12-28
P0012,Foundation - Deep 1,Makeup,Foundation,Deep,434,2023-01-28
P0013,Concealer - Fair 1,Makeup,Concealer,Fair,417,2022-02-04
P0014,Concealer - Fair 2,Makeup,Concealer,Fair,469,2019-09-10
P0015,Concealer - Fair 3,Makeup,Concealer,Fair,307,2020-07-29
P0016,Concealer - Fair 4,Makeup,Concealer,Fair,282,2020-11-03
P0017,Concealer - Wheatish 1,Makeup,Concealer,Wheatish,327,2023-10-11
P0018,Concealer - Wheatish 2,Makeup,Concealer,Wheatish,324,2024-06-22
P0019,Concealer - Wheatish 3,Makeup,Concealer,Wheatish,442,2024-08-18
P0020,Concealer - Dusky 1,Makeup,Concealer,Dusky,275,2025-02-23
P0021,Concealer - Deep 1,Makeup,Concealer,Deep,402,2025-02-18
P0022,Compact - Fair 1,Makeup,Compact,Fair,405,2024-12-13
P0023,Compact - Fair 2,Makeup,Compact,Fair,475,2019-06-13
P0024,Compact - Fair 3,Makeup,Compact,Fair,422,2019-11-11
P0025,Compact - Fair 4,Makeup,Compact,Fair,581,2020-11-25
P0026,Compact - Wheatish 1,Makeup,Compact,Wheatish,365,2022-06-15
P0027,Compact - Wheatish 2,Makeup,Compact,Wheatish,426,2019-08-10
