store_id,store_name,channel,city,state,zone,tier
S0001,GT Store 1,General Trade,Pune,Maharashtra,West,1.0
S0002,GT Store 2,General Trade,Ahmedabad,Gujarat,West,1.0
S0003,GT Store 3,General Trade,Raipur,Chhattisgarh,Central,3.0
S0004,GT Store 4,General Trade,Noida,Uttar Pradesh,North,1.0
S0005,GT Store 5,General Trade,Dehradun,Uttarakhand,North,3.0
S0006,GT Store 6,General Trade,Bhubaneswar,Odisha,East,2.0
S0007,GT Store 7,General Trade,Chandigarh,Punjab,North,2.0
S0008,GT Store 8,General Trade,Bhubaneswar,Odisha,East,2.0
S0009,GT Store 9,General Trade,Ahmedabad,Gujarat,West,1.0
S0010,GT Store 10,General Trade,Ranchi,Jharkhand,East,3.0
S0011,GT Store 11,General Trade,Noida,Uttar Pradesh,North,1.0
S0012,GT Store 12,General Trade,Chandigarh,Punjab,North,2.0
S0013,GT Store 13,General Trade,Vadodara,Gujarat,West,3.0
S0014,GT Store 14,General Trade,Chennai,Tamil Nadu,South,1.0
S0015,GT Store 15,General Trade,Gurgaon,Haryana,North,1.0
S0016,GT Store 16,General Trade,Pune,Maharashtra,West,1.0
S0017,GT Store 17,General Trade,Guwahati,Assam,East,3.0
S0018,GT Store 18,General Trade,Ranchi,Jharkhand,East,3.0
S0019,GT Store 19,General Trade,Gurgaon,Haryana,North,1.0
S0020,GT Store 20,General Trade,Delhi,Delhi,North,1.0
S0021,GT Store 21,General Trade,Lucknow,Uttar Pradesh,North,2.0
S0022,GT Store 22,General Trade,Nagpur,Maharashtra,West,2.0
S0023,GT Store 23,General Trade,Coimbatore,Tamil Nadu,South,2.0
S0024,GT Store 24,General Trade,Lucknow,Uttar Pradesh,North,2.0
S0025,GT Store 25,General Trade,Kochi,Kerala,South,2.0
S0026,GT Store 26,General Trade,Surat,Gujarat,West,2.0
S0027,GT Store 27,General Trade,Chennai,Tamil Nadu,South,1.0
S0028,GT Store 28,General Trade,Chennai,Tamil Nadu,South,1.0
S0029,GT Store 29,General Trade,Vijayawada,Andhra Pradesh,South,3.0
S0030,GT Store 30,General Trade,Delhi,Delhi,North,1.0
S0031,GT Store 31,General Trade,Lucknow,Uttar Pradesh,North,2.0
S0032,GT Store 32,General Trade,Surat,Gujarat,West,2.0
S0033,GT Store 33,General Trade,Vijayawada,Andhra Pradesh,South,3.0
S0034,GT Store 34,General Trade,Noida,Uttar Pradesh,North,1.0
S0035,GT Store 35,General Trade,Mumbai,Maharashtra,West,1.0
S0036,GT Store 36,General Trade,Bengaluru,Karnataka,South,1.0
S0037,GT Store 37,General Trade,Mumbai,Maharashtra,West,1.0
S0038,GT Store 38,General Trade,Mumbai,Maharashtra,West,1.0
S0039,GT Store 39,General Trade,Gurgaon,Haryana,North,1.0
S0040,GT Store 40,General Trade,Patna,Bihar,East,2.0
S0041,GT Store 41,General Trade,Agra,Uttar Pradesh,North,3.0
S0042,GT Store 42,General Trade,Mumbai,Maharashtra,West,1.0
S0043,GT Store 43,General Trade,Gurgaon,Haryana,North,1.0
S0044,GT Store 44,General Trade,Bengaluru,Karnataka,South,1.0
S0045,GT Store 45,General Trade,Chandigarh,Punjab,North,2.0
S0046,GT Store 46,General Trade,Guwahati,Assam,East,3.0
S0047,GT Store 47,General Trade,Pune,Maharashtra,West,1.0
S0048,GT Store 48,General Trade,Coimbatore,Tamil Nadu,South,2.0
S0049,GT Store 49,General Trade,Noida,Uttar Pradesh,North,1.0
S0050,GT Store 50,General Trade,Chennai,Tamil Nadu,South,1.0
S0051,GT Store 51,General Trade,Gurgaon,Haryana,North,1.0
S0052,GT Store 52,General Trade,Dehradun,Uttarakhand,North,3.0
S0053,GT Store 53,General Trade,Chennai,Tamil Nadu,South,1.0
S0054,GT Store 54,General Trade,Dehradun,Uttarakhand,North,3.0
S0055,GT Store 55,General Trade,Kochi,Kerala,South,2.0
S0056,GT Store 56,General Trade,Bengaluru,Karnataka,South,1.0
S0057,GT Store 57,General Trade,Patna,Bihar,East,2.0
S0058,GT Store 58,General Trade,Delhi,Delhi,North,1.0
S0059,GT Store 59,General Trade,Hyderabad,Telangana,South,1.0
S0060,GT Store 60,General Trade,Guwahati,Assam,East,3.0
S0061,GT Store 61,General Trade,Bengaluru,Karnataka,South,1.0
S0062,GT Store 62,General Trade,Ahmedabad,Gujarat,West,1.0
S0063,GT Store 63,General Trade,Surat,Gujarat,West,2.0
S0064,GT Store 64,General Trade,Dehradun,Uttarakhand,North,3.0
S0065,GT Store 65,General Trade,Jaipur,Rajasthan,North,2.0
S0066,GT Store 66,General Trade,Agra,Uttar Pradesh,North,3.0
S0067,GT Store 67,General Trade,Agra,Uttar Pradesh,North,3.0
S0068,GT Store 68,General Trade,Chennai,Tamil Nadu,South,1.0
S0069,GT Store 69,General Trade,Kolkata,West Bengal,East,1.0
S0070,GT Store 70,General Trade,Madurai,Tamil Nadu,South,3.0
S0071,GT Store 71,General Trade,Ranchi,Jharkhand,East,3.0
S0072,GT Store 72,General Trade,Patna,Bihar,East,2.0
S0073,GT Store 73,General Trade,Lucknow,Uttar Pradesh,North,2.0
S0074,GT Store 74,General Trade,Gurgaon,Haryana,North,1.0
S0075,GT Store 75,General Trade,Ahmedabad,Gujarat,West,1.0
S0076,GT Store 76,General Trade,Delhi,Delhi,North,1.0
S0077,GT Store 77,General Trade,Kolkata,West Bengal,East,1.0
S0078,GT Store 78,General Trade,Vijayawada,Andhra Pradesh,South,3.0
S0079,GT Store 79,General Trade,Delhi,Delhi,North,1.0
S0080,GT Store 80,General Trade,Bengaluru,Karnataka,South,1.0
S0081,GT Store 81,General Trade,Gurgaon,Haryana,North,1.0
S0082,GT Store 82,General Trade,Ahmedabad,Gujarat,West,1.0
S0083,GT Store 83,General Trade,Surat,Gujarat,West,2.0
S0084,GT Store 84,General Trade,Dehradun,Uttarakhand,North,3.0
S0085,GT Store 85,General Trade,Mumbai,Maharashtra,West,1.0
S0086,GT Store 86,General Trade,Agra,Uttar Pradesh,North,3.0
S0087,GT Store 87,General Trade,Gurgaon,Haryana,North,1.0
S0088,GT Store 88,General Trade,Nashik,Maharashtra,West,3.0
S0089,GT Store 89,General Trade,Kolkata,West Bengal,East,1.0
S0090,GT Store 90,General Trade,Coimbatore,Tamil Nadu,South,2.0
S0091,GT Store 91,General Trade,Delhi,Delhi,North,1.0
S0092,GT Store 92,General Trade,Indore,Madhya Pradesh,Central,2.0
S0093,GT Store 93,General Trade,Bhubaneswar,Odisha,East,2.0
S0094,GT Store 94,General Trade,Ahmedabad,Gujarat,West,1.0
S0095,GT Store 95,General Trade,Guwahati,Assam,East,3.0
S0096,GT Store 96,General Trade,Lucknow,Uttar Pradesh,North,2.0
S0097,GT Store 97,General Trade,Patna,Bihar,East,2.0
S0098,GT Store 98,General Trade,Hyderabad,Telangana,South,1.0
S0099,GT Store 99,General Trade,Nashik,Maharashtra,West,3.0
S0100,GT Store 100,General Trade,Bengaluru,Karnataka,South,1.0
S0101,GT Store 101,General Trade,Vadodara,Gujarat,West,3.0
S0102,GT Store 102,General Trade,Noida,Uttar Pradesh,North,1.0
S0103,GT Store 103,General Trade,Agra,Uttar Pradesh,North,3.0
S0104,GT Store 104,General Trade,Gurgaon,Haryana,North,1.0
S0105,GT Store 105,General Trade,Noida,Uttar Pradesh,North,1.0
S0106,GT Store 106,General Trade,Gurgaon,Haryana,North,1.0
S0107,GT Store 107,General Trade,Noida,Uttar Pradesh,North,1.0
S0108,GT Store 108,General Trade,Lucknow,Uttar Pradesh,North,2.0
S0109,GT Store 109,General Trade,Noida,Uttar Pradesh,North,1.0
S0110,GT Store 110,General Trade,Vijayawada,Andhra Pradesh,South,3.0
S0111,GT Store 111,General Trade,Gurgaon,Haryana,North,1.0
S0112,GT Store 112,General Trade,Noida,Uttar Pradesh,North,1.0
S0113,GT Store 113,General Trade,Bengaluru,Karnataka,South,1.0
S0114,GT Store 114,General Trade,Lucknow,Uttar Pradesh,North,2.0
S0115,GT Store 115,General Trade,Kolkata,West Bengal,East,1.0
S0116,GT Store 116,General Trade,Kolkata,West Bengal,East,1.0
S0117,GT Store 117,General Trade,Guwahati,Assam,East,3.0
S0118,GT Store 118,General Trade,Guwahati,Assam,East,3.0
S0119,GT Store 119,General Trade,Mumbai,Maharashtra,West,1.0
S0120,GT Store 120,General Trade,Kochi,Kerala,South,2.0
S0121,GT Store 121,General Trade,Chennai,Tamil Nadu,South,1.0
S0122,GT Store 122,General Trade,Ahmedabad,Gujarat,West,1.0
S0123,GT Store 123,General Trade,Chennai,Tamil Nadu,South,1.0
S0124,GT Store 124,General Trade,Gurgaon,Haryana,North,1.0
S0125,GT Store 125,General Trade,Gurgaon,Haryana,North,1.0
S0126,GT Store 126,General Trade,Pune,Maharashtra,West,1.0
S0127,GT Store 127,General Trade,Patna,Bihar,East,2.0
S0128,GT Store 128,General Trade,Jaipur,Rajasthan,North,2.0
S0129,GT Store 129,General Trade,Nashik,Maharashtra,West,3.0
S0130,GT Store 130,General Trade,Coimbatore,Tamil Nadu,South,2.0
S0131,GT Store 131,General Trade,Pune,Maharashtra,West,1.0
S0132,GT Store 132,General Trade,Nashik,Maharashtra,West,3.0
S0133,GT Store 133,General Trade,Mumbai,Maharashtra,West,1.0
S0134,GT Store 134,General Trade,Mumbai,Maharashtra,West,1.0
S0135,GT Store 135,General Trade,Agra,Uttar Pradesh,North,3.0
S0136,GT Store 136,General Trade,Patna,Bihar,East,2.0
S0137,GT Store 137,General Trade,Vadodara,Gujarat,West,3.0
S0138,GT Store 138,General Trade,Chandigarh,Punjab,North,2.0
