marketing_id,month,zone,channel,spend,impressions,clicks,conversions
MKT000001,2023-04,North,Paid Social,221074.7,4781008,160990,6481
MKT000002,2023-04,North,Search,161822.91,2930106,70284,2544
MKT000003,2023-04,North,Influencer,156627.9,3343647,52776,2820
MKT000004,2023-04,North,Offline/Print,51100.72,1047439,31041,1380
MKT000005,2023-04,South,Paid Social,67762.01,1503765,21887,1475
MKT000006,2023-04,South,Search,42024.01,840468,17475,832
MKT000007,2023-04,South,Influencer,38949.03,985108,12567,642
MKT000008,2023-04,South,Offline/Print,18859.56,382324,10886,791
MKT000009,2023-04,West,Paid Social,84181.23,2010892,67703,3397
MKT000010,2023-04,West,Search,45095.06,1101890,25672,773
MKT000011,2023-04,West,Influencer,43566.75,960628,12427,630
MKT000012,2023-04,West,Offline/Print,17226.88,314679,7377,541
MKT000013,2023-04,East,Paid Social,75468.14,1700045,42988,2552
MKT000014,2023-04,East,Search,42529.5,884639,21532,720
MKT000015,2023-04,East,Influencer,41533.36,868021,23451,1216
MKT000016,2023-04,East,Offline/Print,16296.72,341321,6120,307
MKT000017,2023-04,Central,Paid Social,21333.53,408038,10172,524
MKT000018,2023-04,Central,Search,12933.46,292318,8066,346
MKT000019,2023-04,Central,Influencer,14981.65,321188,6923,412
MKT000020,2023-04,Central,Offline/Print,5938.34,134597,1827,40
MKT000021,2023-05,North,Paid Social,202941.68,4845025,105909,2343
MKT000022,2023-05,North,Search,129427.54,2353251,42104,1264
MKT000023,2023-05,North,Influencer,108677.65,2730019,91238,3646
MKT000024,2023-05,North,Offline/Print,53031.07,1251732,31979,1253
MKT000025,2023-05,South,Paid Social,57412.34,1087851,16119,1124
MKT000026,2023-05,South,Search,33311.13,811140,24198,1063
MKT000027,2023-05,South,Influencer,39194.19,960829,29023,2063
MKT000028,2023-05,South,Offline/Print,14244.48,275936,4270,219
MKT000029,2023-05,West,Paid Social,69216.45,1439003,26439,1274
MKT000030,2023-05,West,Search,39763.54,757813,18729,1023
MKT000031,2023-05,West,Influencer,38606.53,803298,26696,1295
MKT000032,2023-05,West,Offline/Print,17274.17,406349,5440,268
MKT000033,2023-05,East,Paid Social,47191.97,1035096,19122,649
MKT000034,2023-05,East,Search,34010.97,712770,10459,259
MKT000035,2023-05,East,Influencer,37479.64,806455,9970,474
MKT000036,2023-05,East,Offline/Print,11746.11,264481,3546,187
MKT000037,2023-05,Central,Paid Social,19818.98,453615,11223,647
MKT000038,2023-05,Central,Search,12959.29,241495,8029,471
MKT000039,2023-05,Central,Influencer,11812.66,214519,7119,215
MKT000040,2023-05,Central,Offline/Print,5225.38,119548,2418,97
MKT000041,2023-06,North,Paid Social,207671.39,4713183,65382,2429
MKT000042,2023-06,North,Search,136716.12,3463649,41777,2263
MKT000043,2023-06,North,Influencer,155788.39,3645229,57779,3049
MKT000044,2023-06,North,Offline/Print,59937.1,1503446,42947,1514
MKT000045,2023-06,South,Paid Social,74421.23,1886685,57942,3389
MKT000046,2023-06,South,Search,34962.44,888989,31039,1595
MKT000047,2023-06,South,Influencer,37834.98,767375,10036,302
MKT000048,2023-06,South,Offline/Print,17330.1,415075,9363,402
MKT000049,2023-06,West,Paid Social,71380.98,1489762,39276,1311
MKT000050,2023-06,West,Search,48023.97,926189,21236,910
MKT000051,2023-06,West,Influencer,47496.51,1152052,25850,905
MKT000052,2023-06,West,Offline/Print,14851.05,270233,6268,416
MKT000053,2023-06,East,Paid Social,57457.95,1047621,21233,855
MKT000054,2023-06,East,Search,34940.56,841327,24274,1046
MKT000055,2023-06,East,Influencer,42112.4,905632,16178,366
MKT000056,2023-06,East,Offline/Print,13453.74,246456,4511,258
MKT000057,2023-06,Central,Paid Social,21008.85,398058,12989,744
MKT000058,2023-06,Central,Search,13562.37,310183,10328,508
MKT000059,2023-06,Central,Influencer,13059.61,236280,4088,181
MKT000060,2023-06,Central,Offline/Print,5038.02,104810,3092,151
MKT000061,2023-07,North,Paid Social,300622.71,5814368,106763,6060
MKT000062,2023-07,North,Search,165215.75,3765374,124893,5984
MKT000063,2023-07,North,Influencer,198354.34,5005964,169349,6848
MKT000064,2023-07,North,Offline/Print,62485.62,1247006,34969,1200
MKT000065,2023-07,South,Paid Social,73223.31,1863221,38903,1988
MKT000066,2023-07,South,Search,60147.44,1391094,34437,2290
MKT000067,2023-07,South,Influencer,46342.18,889056,17050,987
MKT000068,2023-07,South,Offline/Print,21475.14,540191,7772,400
MKT000069,2023-07,West,Paid Social,104564.07,2308699,65041,3092
MKT000070,2023-07,West,Search,56243.07,1377773,24009,1085
MKT000071,2023-07,West,Influencer,64276.69,1346170,42422,1237
MKT000072,2023-07,West,Offline/Print,21272.81,494343,11811,782
MKT000073,2023-07,East,Paid Social,89813.35,2230658,63436,2910
MKT000074,2023-07,East,Search,42825.17,1015188,24837,535
MKT000075,2023-07,East,Influencer,46622.45,867220,28845,1419
MKT000076,2023-07,East,Offline/Print,19114.86,402025,9524,440
MKT000077,2023-07,Central,Paid Social,31678.08,697778,23929,846
MKT000078,2023-07,Central,Search,16685.8,303967,4382,93
MKT000079,2023-07,Central,Influencer,19811.15,375681,12634,466
MKT000080,2023-07,Central,Offline/Print,7210.15,176422,4896,189
MKT000081,2023-08,North,Paid Social,274692.62,6706477,158177,7234
MKT000082,2023-08,North,Search,164594.09,3961539,127326,3945
MKT000083,2023-08,North,Influencer,166082.64,4074766,92743,2885
MKT000084,2023-08,North,Offline/Print,76491.87,1793874,35274,1245
MKT000085,2023-08,South,Paid Social,81028.66,1854377,56425,2646
MKT000086,2023-08,South,Search,58326.34,1449542,27402,1058
MKT000087,2023-08,South,Influencer,48985.61,1249881,16107,1176
MKT000088,2023-08,South,Offline/Print,21069.6,519749,13601,824
MKT000089,2023-08,West,Paid Social,90306.69,2193497,66033,3224
MKT000090,2023-08,West,Search,60926.05,1138604,30706,1357
MKT000091,2023-08,West,Influencer,52896.74,1203044,36822,1685
MKT000092,2023-08,West,Offline/Print,24675.52,619066,16782,1117
MKT000093,2023-08,East,Paid Social,87660.8,1624380,48106,1003
MKT000094,2023-08,East,Search,42385.18,1086074,35546,742
MKT000095,2023-08,East,Influencer,53009.13,1084795,19087,508
MKT000096,2023-08,East,Offline/Print,21349.56,415562,7544,200
MKT000097,2023-08,Central,Paid Social,29281.12,646695,16255,791
MKT000098,2023-08,Central,Search,17316.57,336079,10228,503
MKT000099,2023-08,Central,Influencer,17200.5,332217,9460,457
MKT000100,2023-08,Central,Offline/Print,6091.73,147160,3301,168
MKT000101,2023-09,North,Paid Social,193804.01,4931459,154546,7816
MKT000102,2023-09,North,Search,129849.34,2358686,80691,4314
MKT000103,2023-09,North,Influencer,118991.83,3060343,69365,1600
MKT000104,2023-09,North,Offline/Print,50679.11,1087397,13763,479
MKT000105,2023-09,South,Paid Social,63844.64,1611747,27954,871
MKT000106,2023-09,South,Search,43652.15,1023598,32788,1107
MKT000107,2023-09,South,Influencer,37605.23,909625,18783,777
MKT000108,2023-09,South,Offline/Print,15545.98,333238,5872,319
MKT000109,2023-09,West,Paid Social,77669.66,1757498,49880,2409
MKT000110,2023-09,West,Search,45494.16,1145205,39456,1244
MKT000111,2023-09,West,Influencer,35960.6,803464,14371,1069
MKT000112,2023-09,West,Offline/Print,18454.68,415025,7437,583
MKT000113,2023-09,East,Paid Social,64298.78,1391208,29717,967
MKT000114,2023-09,East,Search,33577.68,700773,17233,989
MKT000115,2023-09,East,Influencer,40206.15,839140,23865,582
MKT000116,2023-09,East,Offline/Print,12715.92,255643,8591,400
MKT000117,2023-09,Central,Paid Social,18537.76,435439,8090,370
MKT000118,2023-09,Central,Search,13464.72,272672,4165,231
MKT000119,2023-09,Central,Influencer,11771.71,289276,4719,278
MKT000120,2023-09,Central,Offline/Print,5050.1,128801,2643,82
MKT000121,2023-10,North,Paid Social,184185.6,3779503,78098,3337
MKT000122,2023-10,North,Search,120847.38,3043537,44315,2441
MKT000123,2023-10,North,Influencer,136787.8,2951225,100439,5560
MKT000124,2023-10,North,Offline/Print,44216.18,849038,26159,1295
MKT000125,2023-10,South,Paid Social,62797.75,1224741,25815,1448
MKT000126,2023-10,South,Search,37842.52,844680,13267,846
MKT000127,2023-10,South,Influencer,33293.17,661204,11048,746
MKT000128,2023-10,South,Offline/Print,14652.98,319090,8559,550
MKT000129,2023-10,West,Paid Social,72133.97,1653346,42461,2912
MKT000130,2023-10,West,Search,33731.7,830111,21220,709
MKT000131,2023-10,West,Influencer,43122.89,926330,19160,1468
MKT000132,2023-10,West,Offline/Print,16315.43,357764,7696,228
MKT000133,2023-10,East,Paid Social,47907.59,953638,17901,362
MKT000134,2023-10,East,Search,36290.48,836001,15788,784
MKT000135,2023-10,East,Influencer,35788.58,761251,20583,1155
MKT000136,2023-10,East,Offline/Print,15852.83,398378,6032,131
MKT000137,2023-10,Central,Paid Social,17044.35,402663,7534,316
MKT000138,2023-10,Central,Search,13443.07,341828,5605,205
