po_id,supplier_id,category,month,units_shipped,shipment_value,lead_time_days,defect_rate
PO000001,SUP01,Makeup,2023-04,97193,20213311.31,32,0.0154
PO000002,SUP02,Makeup,2023-04,470,96285.04,8,0.0056
PO000003,SUP03,Makeup,2023-04,298,64954.06,26,0.0075
PO000004,SUP01,Skincare,2023-04,9769,2243864.94,43,0.0253
PO000005,SUP02,Skincare,2023-04,53,13029.82,7,0.0036
PO000006,SUP03,Skincare,2023-04,38,6944.17,21,0.0097
PO000007,SUP01,Makeup,2023-05,90614,20454558.05,47,0.0213
PO000008,SUP02,Makeup,2023-05,209,52402.57,6,0.0067
PO000009,SUP03,Makeup,2023-05,143,29966.71,30,0.0116
PO000010,SUP01,Skincare,2023-05,10574,2269748.56,45,0.0338
PO000011,SUP02,Skincare,2023-05,37,8876.69,8,0.007
PO000012,SUP03,Skincare,2023-05,12,3255.56,23,0.0111
PO000013,SUP01,Makeup,2023-06,112046,27509571.69,47,0.0245
PO000014,SUP02,Makeup,2023-06,517,110845.69,6,0.0104
PO000015,SUP03,Makeup,2023-06,286,69220.59,22,0.0076
PO000016,SUP01,Skincare,2023-06,12087,3059169.77,41,0.0273
PO000017,SUP02,Skincare,2023-06,56,12734.22,8,0.0076
PO000018,SUP03,Skincare,2023-06,19,4722.45,18,0.0145
PO000019,SUP01,Makeup,2023-07,91997,20483444.21,38,0.0201
PO000020,SUP02,Makeup,2023-07,216,55553.86,7,0.0057
PO000021,SUP03,Makeup,2023-07,200,38060.99,30,0.0166
PO000022,SUP01,Skincare,2023-07,11519,2275906.3,53,0.03
PO000023,SUP02,Skincare,2023-07,30,6604.78,6,0.0093
PO000024,SUP03,Skincare,2023-07,19,3828.82,20,0.0131
PO000025,SUP01,Makeup,2023-08,87850,19871570.06,33,0.0213
PO000026,SUP02,Makeup,2023-08,323,64581.45,9,0.0071
PO000027,SUP03,Makeup,2023-08,120,29456.44,22,0.0094
PO000028,SUP01,Skincare,2023-08,9817,2211632.93,23,0.0205
PO000029,SUP02,Skincare,2023-08,23,4673.6,10,0.0046
PO000030,SUP03,Skincare,2023-08,9,2094.35,26,0.0061
PO000031,SUP01,Makeup,2023-09,116185,28744578.77,32,0.0152
PO000032,SUP02,Makeup,2023-09,672,158480.14,10,0.0073
PO000033,SUP03,Makeup,2023-09,484,102315.27,20,0.0095
PO000034,SUP01,Skincare,2023-09,15826,3203558.31,41,0.0152
PO000035,SUP02,Skincare,2023-09,50,11641.54,8,0.0069
PO000036,SUP03,Skincare,2023-09,35,7619.51,17,0.0094
PO000037,SUP01,Makeup,2023-10,118572,24072514.42,46,0.0253
PO000038,SUP02,Makeup,2023-10,414,92785.25,6,0.0097
PO000039,SUP03,Makeup,2023-10,140,31719.96,27,0.0083
PO000040,SUP01,Skincare,2023-10,10406,2673864.75,47,0.0254
PO000041,SUP02,Skincare,2023-10,40,8907.55,6,0.0138
PO000042,SUP03,Skincare,2023-10,30,5785.44,21,0.0126
PO000043,SUP01,Makeup,2023-11,95003,23888508.18,47,0.0266
PO000044,SUP02,Makeup,2023-11,258,56853.06,9,0.0066
PO000045,SUP03,Makeup,2023-11,136,25680.16,22,0.0111
PO000046,SUP01,Skincare,2023-11,13525,2648752.63,47,0.0075
PO000047,SUP02,Skincare,2023-11,36,8709.03,7,0.0051
PO000048,SUP03,Skincare,2023-11,33,5987.38,16,0.0094
PO000049,SUP01,Makeup,2023-12,115080,22912814.67,42,0.0063
PO000050,SUP02,Makeup,2023-12,387,99838.57,7,0.0082
PO000051,SUP03,Makeup,2023-12,255,59351.8,18,0.0152
PO000052,SUP01,Skincare,2023-12,11761,2540899.73,47,0.021
PO000053,SUP02,Skincare,2023-12,61,14629.25,5,0.0083
PO000054,SUP03,Skincare,2023-12,30,8027.13,17,0.0125
PO000055,SUP01,Makeup,2024-01,102521,25251494.26,36,0.0324
PO000056,SUP02,Makeup,2024-01,556,109260.66,8,0.0093
PO000057,SUP03,Makeup,2024-01,237,60852.75,30,0.0125
PO000058,SUP01,Skincare,2024-01,11504,2805147.54,46,0.0109
PO000059,SUP02,Skincare,2024-01,66,13015.42,5,0.007
PO000060,SUP03,Skincare,2024-01,34,6460.11,17,0.0092
PO000061,SUP01,Makeup,2024-02,113164,23598294.27,39,0.0129
PO000062,SUP02,Makeup,2024-02,405,91396.18,11,0.0028
PO000063,SUP03,Makeup,2024-02,233,56879.28,15,0.0129
PO000064,SUP01,Skincare,2024-02,11501,2621584.49,49,0.0298
PO000065,SUP02,Skincare,2024-02,45,11643.63,8,0.0073
PO000066,SUP03,Skincare,2024-02,21,5279.63,33,0.0149
PO000067,SUP01,Makeup,2024-03,154768,29343168.74,50,0.0212
PO000068,SUP02,Makeup,2024-03,529,109573.56,8,0.0077
PO000069,SUP03,Makeup,2024-03,322,76083.8,14,0.0103
PO000070,SUP01,Skincare,2024-03,13705,3264782.55,36,0.0249
PO000071,SUP02,Skincare,2024-03,42,9664.36,10,0.0055
PO000072,SUP03,Skincare,2024-03,33,6533.77,22,0.0151
PO000073,SUP01,Makeup,2024-04,114151,22367052.42,41,0.0163
PO000074,SUP02,Makeup,2024-04,296,72991.86,6,0.0045
PO000075,SUP03,Makeup,2024-04,146,26999.16,31,0.0084
PO000076,SUP01,Skincare,2024-04,13498,2477291.83,35,0.0135
PO000077,SUP02,Skincare,2024-04,63,12354.61,8,0.0068
PO000078,SUP03,Skincare,2024-04,30,6691.72,26,0.0172
PO000079,SUP01,Makeup,2024-05,86135,21188809.47,45,0.0235
PO000080,SUP02,Makeup,2024-05,380,94236.91,5,0.008
PO000081,SUP03,Makeup,2024-05,188,44552.69,19,0.0118
PO000082,SUP01,Skincare,2024-05,9920,2351036.75,44,0.0149
PO000083,SUP02,Skincare,2024-05,42,10662.71,8,0.0076
PO000084,SUP03,Skincare,2024-05,36,8033.77,17,0.0079
PO000085,SUP01,Makeup,2024-06,129740,27361834.8,34,0.0284
PO000086,SUP02,Makeup,2024-06,626,138667.18,9,0.0117
PO000087,SUP03,Makeup,2024-06,390,95093.77,26,0.0113
PO000088,SUP01,Skincare,2024-06,14122,3048242.11,27,0.0094
PO000089,SUP02,Skincare,2024-06,55,10910.93,9,0.0064
PO000090,SUP03,Skincare,2024-06,30,7024.27,23,0.0086
PO000091,SUP01,Makeup,2024-07,116368,28992784.99,41,0.0298
PO000092,SUP02,Makeup,2024-07,612,136943.01,6,0.0083
PO000093,SUP03,Makeup,2024-07,384,70884.51,23,0.0079
PO000094,SUP01,Skincare,2024-07,13337,3234479.55,39,0.0185
PO000095,SUP02,Skincare,2024-07,27,6842.69,7,0.0082
PO000096,SUP03,Skincare,2024-07,13,3190.26,24,0.0104
PO000097,SUP01,Makeup,2024-08,141713,30452399.13,36,0.0322
PO000098,SUP02,Makeup,2024-08,444,105646.52,9,0.007
PO000099,SUP03,Makeup,2024-08,222,40701.24,18,0.0102
PO000100,SUP01,Skincare,2024-08,16542,3375111.06,48,0.0166
PO000101,SUP02,Skincare,2024-08,75,17848.84,8,0.0059
PO000102,SUP03,Skincare,2024-08,30,6900.86,20,0.0084
PO000103,SUP01,Makeup,2024-09,112387,20278142.75,46,0.0217
PO000104,SUP02,Makeup,2024-09,260,66184.39,8,0.0067
PO000105,SUP03,Makeup,2024-09,165,36634.66,24,0.0089
PO000106,SUP01,Skincare,2024-09,10281,2255100.98,34,0.0147
PO000107,SUP02,Skincare,2024-09,31,5799.15,8,0.009
PO000108,SUP03,Skincare,2024-09,18,3651.18,27,0.0088
PO000109,SUP01,Makeup,2024-10,91989,23545286.78,35,0.023
PO000110,SUP02,Makeup,2024-10,458,114390.85,11,0.0075
